WOJ;POW;GMI;RODZ_GMI;RM;MZ;NMST;NMSK;SYMBM;SYMSTAT;NAZWA;SYM;SYMPOD;STAN_NA
02;08;10;5;01;1;08;001;0;0853748;Jaworek;0853748;0853748;2024-01-01
02;08;10;5;01;1;14;001;0;0853808;Niemojów;0853808;0853808;2024-01-01
02;08;10;5;01;1;16;001;0;0853820;Pisary;0853820;0853820;2024-01-01
02;08;10;5;01;1;20;001;0;0853866;Smreczyna;0853866;0853866;2024-01-01
02;07;02;2;01;1;18;001;0;0190006;Raszów;0190006;0190006;2024-01-01
02;07;03;5;01;1;01;001;0;0190443;Błażejów;0190443;0190443;2024-01-01
02;07;03;5;01;1;08;001;0;0190510;Okrzeszyn;0190510;0190510;2024-01-01
02;07;03;5;01;1;10;001;0;0190532;Paczyn;0190532;0190532;2024-01-01
02;12;03;5;01;1;25;001;0;0190986;Ustronie;0190986;0190986;2024-01-01
02;12;04;5;01;1;05;001;0;0191201;Grudza;0191201;0191201;2024-01-01
02;12;04;5;01;1;07;001;0;0191224;Karłowiec;0191224;0191224;2024-01-01
02;16;03;2;01;1;18;001;0;0364110;Grodowiec;0364110;0364110;2024-01-01
02;16;04;5;01;1;05;001;0;0366540;Kaźmierzów;0366540;0366540;2024-01-01
02;02;07;5;01;1;08;001;0;0853961;Przerzeczyn-Zdrój;0853961;0853961;2024-01-01
02;18;01;2;01;1;15;001;0;0876146;Piotrowice;0876146;0876146;2024-01-01
02;10;04;2;01;1;02;001;0;0190319;Jałowiec;0190319;0190319;2024-01-01
02;10;06;2;01;1;02;001;0;0192011;Przylasek;0192011;0192011;2024-01-01
02;10;07;2;01;1;01;001;0;0192175;Nowa Karczma;0192175;0192175;2024-01-01
02;10;07;2;01;1;02;001;0;0192181;Rudzica;0192181;0192181;2024-01-01
02;12;05;5;01;1;10;001;0;0193170;Radomice;0193170;0193170;2024-01-01
02;18;04;5;01;1;20;001;0;0880946;Rakoszyce;0880946;0880946;2024-01-01
02;18;04;5;01;1;22;001;0;0880969;Słup;0880969;0880969;2024-01-01
02;18;04;5;01;1;24;001;0;0880981;Święte;0880981;0880981;2024-01-01
02;18;04;5;01;1;26;001;0;0881006;Wrocisławice;0881006;0881006;2024-01-01
02;18;04;5;01;1;27;001;0;0881012;Zakrzów;0881012;0881012;2024-01-01
02;18;05;2;01;1;03;001;0;0367835;Dziwigórz;0367835;0367835;2024-01-01
02;11;02;2;01;1;13;001;0;0365322;Krzeczyn Wielki;0365322;0365322;2024-01-01
02;11;02;2;01;1;15;001;0;0365351;Raszówka;0365351;0365351;2024-01-01
02;11;02;2;01;1;16;001;0;0365368;Lisiec;0365368;0365368;2024-01-01
02;11;02;2;01;1;21;001;0;0365434;Obora;0365434;0365434;2024-01-01
02;12;02;5;01;1;08;001;0;0190667;Pławna Dolna;0190667;0190667;2024-01-01
02;04;03;2;01;1;11;001;0;0373623;Niechlów;0373623;0373623;2024-01-01
02;20;06;5;01;1;04;001;0;0883991;Borek;0883991;0883991;2024-01-01
02;02;06;2;01;1;07;001;0;0876784;Przystronie;0876784;0876784;2024-01-01
02;02;06;2;01;1;09;001;0;0876809;Ratajno;0876809;0876809;2024-01-01
02;18;04;5;01;1;14;001;0;0880886;Lipnica;0880886;0880886;2024-01-01
02;08;06;5;01;1;11;002;1;0851442;Piaskowice;0851459;0851459;2024-01-01
02;08;10;5;01;1;01;001;0;0853671;Boboszów;0853671;0853671;2024-01-01
02;09;05;2;01;1;07;001;0;0365061;Koskowice;0365061;0365061;2024-01-01
02;16;01;5;01;1;03;001;0;0363139;Jabłonów;0363139;0363139;2024-01-01
02;15;02;2;01;1;05;001;0;0874325;Gęsice;0874325;0874325;2024-01-01
02;16;02;2;01;1;07;001;0;0363748;Koźlice;0363748;0363748;2024-01-01
02;13;03;5;01;1;16;001;0;0877855;Latkowa;0877855;0877855;2024-01-01
02;13;03;5;01;1;17;001;0;0877884;Łąki;0877884;0877884;2024-01-01
02;13;03;5;01;1;18;001;0;0877909;Miłochowice;0877909;0877909;2024-01-01
02;13;03;5;01;1;22;001;0;0877980;Nowy Zamek;0877980;0877980;2024-01-01
02;13;03;5;01;1;24;001;0;0878062;Piękocin;0878062;0878062;2024-01-01
02;13;03;5;01;1;26;001;0;0878100;Poradów;0878100;0878100;2024-01-01
02;14;07;5;01;1;02;001;0;0209409;Drołtowice;0209409;0209409;2024-01-01
02;14;07;5;01;1;05;001;0;0209480;Komorów;0209480;0209480;2024-01-01
02;14;07;5;01;1;06;001;0;0209504;Nowy Dwór;0209504;0209504;2024-01-01
02;14;07;5;01;1;08;001;0;0209540;Szczodrów;0209540;0209540;2024-01-01
02;01;02;2;01;1;10;001;0;0189084;Kraśnik Dolny;0189084;0189084;2024-01-01
02;01;02;2;01;1;19;001;0;0189210;Nowa Wieś;0189210;0189210;2024-01-01
02;21;05;5;01;1;03;001;0;0852453;Kolce;0852453;0852453;2024-01-01
02;12;03;5;01;1;03;001;0;0190762;Chmielno;0190762;0190762;2024-01-01
02;12;03;5;01;1;04;001;0;0190779;Dębowy Gaj;0190779;0190779;2024-01-01
02;12;03;5;01;1;18;001;0;0190911;Radłówka;0190911;0190911;2024-01-01
02;17;03;2;01;1;05;001;0;0854653;Jagielno;0854653;0854653;2024-01-01
02;17;04;5;01;1;20;001;0;0880490;Kuropatnik;0880490;0880490;2024-01-01
02;17;04;5;01;1;23;001;0;0880550;Muchowiec;0880550;0880550;2024-01-01
02;08;06;5;01;1;25;001;0;0851637;Stary Waliszów;0851637;0851637;2024-01-01
02;08;06;5;01;1;29;001;0;0851689;Wilkanów;0851689;0851689;2024-01-01
02;08;07;2;01;1;11;001;0;0852861;Krosnowice;0852861;0852861;2024-01-01
02;08;07;2;01;1;18;001;0;0852938;Ołdrzychowice Kłodzkie;0852938;0852938;2024-01-01
02;08;07;2;01;1;21;001;0;0852967;Podzamek;0852967;0852967;2024-01-01
02;08;07;2;01;1;25;001;0;0853004;Ruszowice;0853004;0853004;2024-01-01
02;17;02;2;01;1;14;001;0;0875840;Lipowa;0875840;0875840;2024-01-01
02;17;02;2;01;1;16;001;0;0875879;Podgaj;0875879;0875879;2024-01-01
02;17;03;2;01;1;02;001;0;0854601;Dobroszów;0854601;0854601;2024-01-01
02;07;02;2;01;1;13;001;0;0189954;Ogorzelec;0189954;0189954;2024-01-01
02;04;04;5;01;1;07;001;0;0377118;Czarnoborsko;0377118;0377118;2024-01-01
02;03;04;2;01;1;04;001;0;0364475;Grochowice;0364475;0364475;2024-01-01
02;03;05;2;01;1;03;001;0;0366244;Kotowice;0366244;0366244;2024-01-01
02;13;03;5;01;1;34;001;0;0878270;Stawiec;0878270;0878270;2024-01-01
02;13;03;5;01;1;40;001;0;0878375;Wałkowa;0878375;0878375;2024-01-01
02;09;02;2;01;1;15;001;0;0363501;Okmiany;0363501;0363501;2024-01-01
02;09;07;5;01;1;03;001;0;0366698;Golanka Dolna;0366698;0366698;2024-01-01
02;09;07;5;01;1;08;001;0;0366741;Mierzowice;0366741;0366741;2024-01-01
02;10;03;5;01;1;01;001;0;0190041;Bartoszówka;0190041;0190041;2024-01-01
02;10;03;5;01;1;05;001;0;0190124;Kościelniki Górne;0190124;0190124;2024-01-01
02;18;01;2;01;1;22;001;0;0876235;Wichrów;0876235;0876235;2024-01-01
02;17;04;5;01;1;04;001;0;0880314;Brożec;0880314;0880314;2024-01-01
02;19;06;5;01;1;16;001;0;0855836;Skarżyce;0855836;0855836;2024-01-01
02;19;06;5;01;1;19;001;0;0855865;Tomkowice;0855865;0855865;2024-01-01
02;19;07;2;01;1;11;001;0;0856089;Krzczonów;0856089;0856089;2024-01-01
